ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,F_TL,M_TL,T_TL,F_00_04,F_05_17,F_18_60,F_61plus,M_00_04,M_05_17,M_18_60,M_61plus,T_00_04,T_05_17,T_18_60,T_61plus
SS,South Sudan,SS01,Central Equatoria,785160,760518,1545676,139922,226855,368594,49789,115080,217924,357949,69565,255002,444777,726542,119355
SS,South Sudan,SS02,Eastern Equatoria,567603,557746,1125347,116343,190487,225308,35465,132441,196996,202965,25344,248782,387483,428272,60810
SS,South Sudan,SS03,Jonglei,1031609,1000167,2031777,195791,330744,422456,82618,227165,345604,364209,63189,422957,676348,786667,145805
SS,South Sudan,SS04,Lakes,602038,607714,1209753,84378,249695,224594,43371,103358,241246,232025,31085,187735,490942,456618,74458
SS,South Sudan,SS05,Northern Bahr el Ghazal,487231,447923,935155,90136,189500,175937,31658,92719,176137,154079,24988,182856,365639,330016,56644
SS,South Sudan,SS06,Unity,572675,550956,1123632,104124,205461,203174,59916,114607,193053,200374,42922,218733,398514,403547,102838
SS,South Sudan,SS07,Upper Nile,738027,784229,1522252,124653,240013,299885,73476,140984,261641,300454,81150,265637,501652,600338,154625
SS,South Sudan,SS08,Warrap,633986,660063,1294050,96471,249856,232253,55406,105256,260233,246759,47815,201726,510090,479012,103222
SS,South Sudan,SS09,Western Bahr el Ghazal,348375,314521,662897,75308,123158,138430,11479,72613,111267,119317,11324,147921,234425,257747,22804
SS,South Sudan,SS10,Western Equatoria,477239,467192,944431,86113,151187,214203,25736,88760,161479,191165,25788,174872,312667,405367,51525
